timestamp_iso,scan_dirs,object_folder,yaml_host_path,yaml_container_path,slot_nominal,topk,filename_pattern,successes_reported,trials_in_block,trial_exit_codes,extra_args,docker_mode,hostname
2026-04-22T05:27:09.141261Z,/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Mug;/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/RectPrism,RectPrism,/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/RectPrism/Prism_501_eval_npts_slot500_topk200_grasps.yaml,/home/ros/data/RectPrism/Prism_501_eval_npts_slot500_topk200_grasps.yaml,500,200,eval_npts,1,1,0,--object-center 0 0.5 0.06,True,dx-dev
2026-04-22T05:31:21.498712Z,/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Mug;/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/RectPrism;/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Laptop;/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Sphere,Mug,/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Mug/Mug_479_eval_npts_slot500_topk200_grasps.yaml,/home/ros/data/Mug/Mug_479_eval_npts_slot500_topk200_grasps.yaml,500,200,eval_npts,0,1,1,--object-center 0 0.5 0.1,True,dx-dev
2026-04-22T05:34:49.765614Z,/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Mug;/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/RectPrism;/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Laptop;/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Sphere,Mug,/home/donsonxie/Dev/HA-Lab-WP3-Manipulation/data/Mug/Mug_5000_eval_topk400_npts_slot5000_grasps.yaml,/home/ros/data/Mug/Mug_5000_eval_topk400_npts_slot5000_grasps.yaml,5000,400,eval_topk,6,7,0,--object-center 0 0.5 0.1,True,dx-dev
