timestamp_iso,filename,num_candidates,generation_time_s
2026-03-17T03:53:46.069908Z,Mug8192.ply,1,0.5790
2026-03-17T03:53:47.962800Z,Mug8192.ply,1,0.7212
2026-03-17T03:53:50.112416Z,Mug8192.ply,1,0.6852
2026-03-17T03:54:04.436966Z,Mug8192.ply,1,0.5776
2026-03-17T03:54:09.014037Z,Mug8192.ply,1,0.5735
2026-03-17T03:54:11.411774Z,Mug8192.ply,1,0.5674
2026-03-17T03:54:13.071366Z,Mug8192.ply,1,0.5700
2026-03-17T03:54:14.734506Z,Mug8192.ply,1,0.5725
2026-03-17T03:54:17.905671Z,Mug8192.ply,5,0.5708
2026-03-17T03:54:19.559885Z,Mug8192.ply,5,0.5740
2026-03-17T03:54:21.119689Z,Mug8192.ply,5,0.5759
2026-03-17T03:54:22.582843Z,Mug8192.ply,5,0.5748
2026-03-17T03:54:23.991470Z,Mug8192.ply,5,0.5727
2026-03-17T03:54:26.502430Z,Mug8192.ply,10,0.5722
2026-03-17T03:54:28.821526Z,Mug8192.ply,10,0.5772
2026-03-17T03:54:30.336038Z,Mug8192.ply,10,0.5833
2026-03-17T03:54:31.818919Z,Mug8192.ply,10,0.5864
2026-03-17T03:54:33.172598Z,Mug8192.ply,10,0.5790
2026-03-17T03:54:38.050740Z,Mug8192.ply,50,0.5880
2026-03-17T03:54:39.733647Z,Mug8192.ply,50,0.5825
2026-03-17T03:54:41.109116Z,Mug8192.ply,50,0.5849
2026-03-17T03:54:42.472460Z,Mug8192.ply,50,0.5797
2026-03-17T03:54:43.885394Z,Mug8192.ply,50,0.5877
2026-03-17T03:54:46.669346Z,Mug8192.ply,100,0.5885
2026-03-17T03:54:48.173576Z,Mug8192.ply,100,0.5884
2026-03-17T03:54:49.570193Z,Mug8192.ply,100,0.5931
2026-03-17T03:54:50.880126Z,Mug8192.ply,100,0.5878
2026-03-17T03:54:52.263144Z,Mug8192.ply,100,0.5895
2026-03-17T03:54:57.806095Z,Mug8192.ply,200,0.6127
2026-03-17T03:54:59.237877Z,Mug8192.ply,200,0.6126
2026-03-17T03:55:00.681253Z,Mug8192.ply,200,0.6140
2026-03-17T03:55:02.030170Z,Mug8192.ply,200,0.6147
2026-03-17T03:55:03.494310Z,Mug8192.ply,200,0.6149
2026-03-17T03:55:06.308227Z,Mug8192.ply,500,0.7078
2026-03-17T03:55:08.101787Z,Mug8192.ply,500,0.7041
2026-03-17T03:55:09.553829Z,Mug8192.ply,500,0.6917
2026-03-17T03:55:11.234489Z,Mug8192.ply,500,0.6961
2026-03-17T03:55:12.831872Z,Mug8192.ply,500,0.6969
2026-03-17T03:55:16.729275Z,Mug8192.ply,1000,0.8362
2026-03-17T03:55:18.739236Z,Mug8192.ply,1000,0.8284
2026-03-17T03:55:20.700164Z,Mug8192.ply,1000,0.8285
2026-03-17T03:55:22.804209Z,Mug8192.ply,1000,0.8377
2026-03-17T03:55:24.731052Z,Mug8192.ply,1000,0.8404
2026-03-17T03:55:31.768535Z,Mug8192.ply,50,0.5949
2026-04-08T03:04:40.222061Z,Mug_493.ply,50,1.0986
2026-04-08T03:05:55.487879Z,Mug_2011.ply,50,0.2376
2026-04-08T03:07:39.358237Z,Mug_493.ply,50,0.2390
2026-04-08T03:07:41.284674Z,Mug_493.ply,50,0.2360
2026-04-08T03:07:43.164989Z,Mug_493.ply,50,0.2315
2026-04-08T03:09:40.216404Z,Mug_493.ply,50,0.2503
2026-04-08T03:09:41.823219Z,Mug_493.ply,50,0.2866
2026-04-08T03:09:50.830661Z,Mug_2011.ply,50,0.2599
2026-04-08T03:09:52.314756Z,Mug_2011.ply,50,0.2567
2026-04-08T03:09:53.488799Z,Mug_2011.ply,50,0.2721
2026-04-08T03:09:54.827427Z,Mug_2011.ply,50,0.3028
2026-04-08T03:09:56.095229Z,Mug_2011.ply,50,0.2886
2026-04-08T03:10:06.313884Z,Mug_5009.ply,50,0.4581
2026-04-08T03:10:08.046844Z,Mug_5009.ply,50,0.5195
2026-04-08T03:10:09.669882Z,Mug_5009.ply,50,0.4729
2026-04-08T03:10:11.196846Z,Mug_5009.ply,50,0.5017
2026-04-08T03:10:12.763400Z,Mug_5009.ply,50,0.4821
2026-04-08T03:10:28.675011Z,Mug_9991.ply,50,1.0866
2026-04-08T03:10:41.333932Z,Mug_9991.ply,50,1.0895
2026-04-08T03:10:44.803437Z,Mug_9991.ply,50,1.1612
2026-04-08T03:10:49.687751Z,Mug_9991.ply,50,1.0804
2026-04-08T03:10:52.090465Z,Mug_9991.ply,50,1.0893
